DATE_REPORTED,OUT_POSITIVE_QUARANTINE_PSMPD
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,139.0
2020-03-27,157.0
2020-03-28,158.0
2020-03-29,161.0
2020-03-30,176.0
2020-03-31,180.0
2020-04-01,192.0
2020-04-02,210.0
2020-04-03,213.0
2020-04-04,213.0
2020-04-05,235.0
2020-04-06,290.0
2020-04-07,315.0
2020-04-08,325.0
2020-04-09,305.0
2020-04-10,309.0
2020-04-11,290.0
2020-04-12,0.0
2020-04-13,288.0
2020-04-14,221.0
2020-04-15,236.0
2020-04-16,196.0
2020-04-17,203.0
2020-04-18,203.0
2020-04-19,196.0
2020-04-20,186.0
2020-04-21,170.0
2020-04-22,158.0
2020-04-23,138.0
2020-04-24,130.0
2020-04-25,130.0
2020-04-26,110.0
2020-04-27,116.0
2020-04-28,105.0
2020-04-29,111.0
2020-04-30,112.0
2020-05-01,112.0
2020-05-02,112.0
2020-05-03,114.0
2020-05-04,105.0
2020-05-05,95.0
2020-05-06,105.0
2020-05-07,94.0
2020-05-08,96.0
2020-05-09,96.0
2020-05-10,96.0
2020-05-11,104.0
2020-05-12,89.0
2020-05-13,91.0
2020-05-14,87.0
2020-05-15,81.0
2020-05-16,83.0
2020-05-17,83.0
2020-05-18,85.0
2020-05-19,85.0
2020-05-20,100.0
2020-05-21,96.0
2020-05-22,97.0
2020-05-23,91.0
2020-05-24,91.0
2020-05-25,111.0
2020-05-26,96.0
2020-05-27,90.0
2020-05-28,85.0
2020-05-29,76.0
2020-05-30,76.0
2020-05-31,76.0
2020-06-01,84.0
2020-06-02,77.0
2020-06-03,64.0
2020-06-04,59.0
2020-06-05,57.0
2020-06-06,57.0
2020-06-07,57.0
2020-06-08,45.0
2020-06-09,46.0
2020-06-10,47.0
2020-06-11,45.0
2020-06-12,43.0
2020-06-13,43.0
2020-06-14,43.0
2020-06-15,43.0
2020-06-16,43.0
2020-06-17,44.0
2020-06-18,43.0
2020-06-19,46.0
2020-06-20,46.0
2020-06-21,46.0
2020-06-22,47.0
2020-06-23,51.0
2020-06-24,56.0
2020-06-25,55.0
2020-06-26,53.0
2020-06-27,76.0
2020-06-28,75.0
2020-06-29,73.0
2020-06-30,63.0
2020-07-01,63.0
2020-07-02,61.0
2020-07-03,65.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,91.0
2020-07-07,92.0
2020-07-08,99.0
2020-07-09,94.0
2020-07-10,94.0
2020-07-11,97.0
2020-07-12,97.0
2020-07-13,121.0
2020-07-14,122.0
2020-07-15,144.0
2020-07-16,164.0
2020-07-17,175.0
2020-07-18,169.0
2020-07-19,169.0
2020-07-20,169.0
2020-07-21,147.0
2020-07-22,152.0
2020-07-23,153.0
2020-07-24,145.0
2020-07-25,141.0
2020-07-26,139.0
2020-07-27,123.0
2020-07-28,129.0
2020-07-29,135.0
2020-07-30,129.0
2020-07-31,125.0
2020-08-01,125.0
2020-08-02,125.0
2020-08-03,131.0
2020-08-04,131.0
2020-08-05,121.0
2020-08-06,124.0
2020-08-07,122.0
2020-08-08,122.0
2020-08-09,122.0
2020-08-10,123.0
2020-08-11,128.0
2020-08-12,122.0
2020-08-13,114.0
2020-08-14,106.0
2020-08-15,106.0
2020-08-16,106.0
2020-08-17,103.0
2020-08-18,103.0
2020-08-19,102.0
2020-08-20,101.0
2020-08-21,97.0
2020-08-22,97.0
2020-08-23,97.0
2020-08-24,113.0
2020-08-25,109.0
2020-08-26,99.0
2020-08-27,90.0
2020-08-28,71.0
2020-08-29,71.0
2020-08-30,71.0
2020-08-31,87.0
2020-09-01,80.0
2020-09-02,80.0
2020-09-03,75.0
2020-09-04,72.0
2020-09-05,72.0
2020-09-06,72.0
2020-09-07,69.0
2020-09-08,72.0
2020-09-09,69.0
2020-09-10,58.0
2020-09-11,54.0
2020-09-12,54.0
2020-09-13,54.0
2020-09-14,53.0
2020-09-15,48.0
2020-09-16,1.0
2020-09-17,45.0
2020-09-18,49.0
2020-09-19,49.0
2020-09-20,49.0
2020-09-21,49.0
2020-09-22,56.0
2020-09-23,66.0
2020-09-24,69.0
2020-09-25,62.0
2020-09-26,62.0
2020-09-27,62.0
2020-09-28,57.0
2020-09-29,53.0
2020-09-30,59.0
2020-10-01,62.0
2020-10-02,65.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,64.0
2020-10-06,66.0
2020-10-07,63.0
2020-10-08,71.0
2020-10-09,44.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,58.0
2020-10-14,59.0
2020-10-15,67.0
2020-10-16,67.0
2020-10-17,67.0
2020-10-18,0.0
2020-10-19,57.0
2020-10-20,60.0
2020-10-21,64.0
2020-10-22,63.0
2020-10-23,63.0
