,Name,long,lat
0,CALVARY BAPTIST CHURCH,-77.02268370274251,38.89940336322003
1,CHRISTIAN TABERNACLE CHURCH OF GOD,-77.02679339432177,38.91792266248784
2,CHURCH-THE LIVING GOD PILLAR,-77.0163878698389,38.90596006713761
3,IMMACULATE CONCEPTION PARISH,-77.02259746551303,38.907750431382844
4,DISTRICT CHURCH,-77.02220381907202,38.911724267883514
5,MEDHANE ALEM ERITREAN ORTHODOX,-77.01385668601688,38.9138951245743
6,KINGDOM HALL-JEHOVAH'S WITNESS,-77.01869429013531,38.90688595937102
7,GREATER NEW HOPE BAPTIST CHR,-77.02329199501966,38.90032308723439
8,FAITH & HOPE FULL GOSPEL CHR,-77.01197475009569,38.90946214768877
9,FIRST RISING MT ZION BAPTIST,-77.02044355475176,38.90701835933734
10,FIRST TABERNACLE BETH EL,-77.01638662391125,38.90505346681628
11,FIRST TRINITY LUTHERAN CHURCH,-77.01578275796412,38.89630391072005
12,FLORIDA AVENUE BAPTIST CHURCH,-77.02083741827823,38.91616851275828
13,GRACE PRESBYTERIAN CHR-WA DC,-77.02259730296373,38.89959579856499
14,HOLY REDEEMER CHURCH,-77.01387498408734,38.905417098972755
15,HOLY ROSARY CHURCH,-77.01485170528241,38.897562051037575
16,MASJID MUHAMMAD,-77.01588986136865,38.91032954466238
17,SPRINGFIELD BAPTIST CHURCH,-77.01957383860938,38.90932464518534
18,SHILOH BAPTIST CHURCH,-77.02432946639335,38.90991659080104
19,TABLE CHURCH-DOWNTOWN,-77.02556830393553,38.898550756541745
20,ST ALOYSIUS PARISH,-77.00966231605061,38.90156419967232
21,ST GEORGE'S EPISCOPAL CHURCH,-77.01418587015927,38.91674316037549
22,FIRST CONGREGATIONAL UCC,-77.02556830393553,38.898550756541745
23,HEMMINGWAY TEMPLE AME CHURCH,-77.01914600419607,38.90987647720734
24,GALBRAITH AME ZION CHURCH,-77.02016459256768,38.9047400156917
25,FOURTH STREET FRIENDSHIP SDA CHURCH,-77.01596564913973,38.91152286947893
26,HIGHWAY CHRISTIAN CHR-CHRIST,-77.01869493441716,38.9190201923531
27,SCRIPTURE CATHEDRAL,-77.02367069541779,38.90830531323698
28,ST LUKE'S AT IMMACULATE CNCPTN,-77.02259746551303,38.907750431382844
29,ST MARYS MOTHER OF GOD,-77.01870446506992,38.89952369921383
30,ST PATRICKS CATHOLIC CHURCH,-77.02549811649031,38.89795567939351
31,THIRD STREET CHURCH OF GOD,-77.01552229380955,38.90611260665067
32,NEW HOPE BAPTIST UCC,-77.01578275796412,38.89630391072005
33,MILES MEMORIAL CHRISTIAN,-77.01922513407459,38.90744195859309
34,SONS-DAUGHTERS IN CHRIST A M E,-77.01745056980629,38.917503381965275
35,TENTH STREET BAPTIST CHURCH,-77.02667981069467,38.91236859896516
36,UNITED HOUSE OF PRAYER FOR ALL PEOPLE,-77.02051439109985,38.90597671141181
37,TRUE GRACE CHURCH OF JESUS,-77.0152619384041,38.91891916733739
38,SOUTHERN BAPTIST CHURCH,-77.01334105900901,38.90349432818609
39,METROPOLITAN COMMUNITY CHURCH,-77.01865702491271,38.9063475362641
40,SALEM BAPTIST CHURCH,-77.02498607119266,38.90756374238545
41,TEMPLE OF CUN YUM,-77.01969557374758,38.900072776066054
42,SECOND BAPTIST CHURCH,-77.01554096248327,38.900782270525255
43,SECOND CHURCH OF GOD,-77.01702006994503,38.91054414438086
44,NEW BETHANY BAPTIST CHURCH,-77.02624355064891,38.90747086085564
45,NEW BETHEL BAPTIST CHURCH,-77.02356345530357,38.913842132500086
46,NEW BIRTH BAPTIST CHURCH WA,-77.01388709696734,38.90604696144254
47,CAPITOL HILL ADVENTIST CHURCH,-76.99315998081954,38.891300176941215
48,MT BETHEL BAPTIST CHURCH,-77.0116640906419,38.916213659266944
49,MT CARMEL BAPTIST CHURCH,-77.01482109783306,38.90171743168308
50,METRO WASH DC SYNOD,-77.01564996142194,38.89631023444495
51,NEW COVENANT EVANGELISTIC CTR,-77.01655441059027,38.909197463807935
52,COMMUNITY UNITED METHODIST CHURCH,-76.9815334356244,38.904405186373744
53,BETHESDA BAPTIST CHURCH,-76.98614451925766,38.91102831106245
54,CHRISTIAN LOVE BAPTIST CHURCH,-76.9830030699854,38.90131491276562
55,CRUSADERS BAPTIST CHURCH,-76.99473148196986,38.90149989078249
56,CHURCH OF GOD,-76.99593010812941,38.89113743484751
57,CHURCH-THE LORD JESUS CHRIST,-76.98914354645359,38.89383500889502
58,FIRST JERICHO BAPTIST CHURCH,-77.00158184875923,38.91431112996973
59,CHURCH OF ST MONICA & ST JAMES,-76.99522340029498,38.892889536667425
60,CHURCH UNITED SPANISH,-76.99433392016502,38.90227161815094
61,DOUGLAS MEMORIAL UNITED MTHDST,-76.9917903530788,38.90044484236609
62,BROWN MEMORIAL AME CHURCH,-76.98635814744962,38.89185170396603
63,MT LEBANON BAPTIST CHURCH,-77.01468209220675,38.90633251901934
64,MT PLEASANT BAPTIST CHURCH,-77.01476901185288,38.91518879011609
65,MT SINAI BAPTIST CHURCH,-77.01482742254154,38.91162247157527
66,MT VERNON PLACE UNITED MTHDST,-77.02499630569211,38.90288209957666
67,ALL NATIONS BAPTIST CHURCH,-77.00875695727296,38.91728266196471
68,WAY BACK TO PENTECOST CHURCH,-77.02573634506246,38.91282724502824
69,NATIONAL COMMUNITY CHURCH,-77.00320572523061,38.897143251627696
70,MT AIRY BAPTIST CHURCH,-77.0095757211046,38.9040186234324
71,PURITY BAPTIST CHURCH,-76.98727801950757,38.89816460207682
72,NEW LIFE BAPTIST CHR ALEXANDER,-76.98901905313008,38.90731492611355
73,NEW SAMARITAN BAPTIST CHURCH,-76.99151997607797,38.90368413814916
74,METROPOLITAN WESLEY AME ZION,-77.00941365005377,38.912938160863256
75,SACRED HEART OF JESUS INTL,-76.990017785979,38.901131231430995
76,SAFE HAVEN OUTREACH MINISTRY,-77.00948951761792,38.90512755871379
77,GATEWAY TO HEAVEN PENTACOSTAL,-76.98466771242822,38.911784647179296
78,IMANI TEMPLE,-76.99813372430687,38.89383135446689
79,JAMES MEMORIAL BAPTIST CHURCH,-77.00178822415548,38.913486323598924
80,GREATER MT CALVARY HOLY CHURCH,-76.99784540960528,38.92121979023762
81,GREATER MT PISGAH BAPTIST CHR,-76.97737609988546,38.89789870879021
82,PEACE BAPTIST CHURCH,-76.97800667110023,38.89828078381406
83,PEOPLES COMMUNITY CHURCH,-76.99127478953298,38.89871835261993
84,PILGRIM A M E OUTREACH CHURCH,-76.98029428409762,38.89739891288465
85,PILGRIM BAPTIST CHURCH,-76.99596029600794,38.901537414482654
86,NORTHEAST HOLY TRINITY CHURCH,-77.00027169493782,38.89934322770726
87,NEW ABUNDANT LIFE MISSIONARY,-76.98338641898805,38.894257725460704
